chave,nutriente,sintomas,local_de_ocorrencia,tipo,funcao_na_planta,mobilidade_solo,mobilidade_solo_comentario,mobilidade_planta,mobilidade_planta_comentario,correcao_da_deficiencia,fontes_naturais,interacoes_com_outros_nutrientes,faixa_otima_solo,faixa_otima_folha,indicadores_no_solo_planta,faixa_de_ph_ideal_no_solo,tipo_de_solo_ideal,aplicacao_no_solo,fertirrigacao,aplicacao_foliar
fosforo,Fósforo (P),Crescimento lento e reduzido,Toda planta,Macro,Crescimento radicular Transferência de energia (ATP) Síntese de ácidos nucleicos Desenvolvimento de flores e frutos,Baixa mobilidade,O fósforo reage com cálcio ferro ou alumínio formando compostos insolúveis em solos de pH extremo (ácidos ou alcalinos),Moderada mobilidade,É transportado em menor proporção que o nitrogênio e o potássio mas pode ser redistribuído internamente especialmente para áreas em crescimento ativo.,Aplicar superfosfato ou MAP,Rocha fosfática,Pode competir com zinco e ferro,2-5,1 - 3,Análise do solo,6.0 - 7.0,Solos ligeiramente ácidos a neutros (solo argiloso solo com boa capacidade de retenção de água).,Sim,Não,Não
fosforo,Fósforo (P),Crescimento lento e reduzido,Raízes,Macro,Crescimento radicular Transferência de energia (ATP) Síntese de ácidos nucleicos Desenvolvimento de flores e frutos,Baixa mobilidade,O fósforo reage com cálcio ferro ou alumínio formando compostos insolúveis em solos de pH extremo (ácidos ou alcalinos),Moderada mobilidade,É transportado em menor proporção que o nitrogênio e o potássio mas pode ser redistribuído internamente especialmente para áreas em crescimento ativo.,Aplicar superfosfato ou MAP,Rocha fosfática,Pode competir com zinco e ferro,2-5,1 - 3,Análise do solo,6.0 - 7.0,Solos ligeiramente ácidos a neutros (solo argiloso solo com boa capacidade de retenção de água).,Sim,Não,Não
fosforo,Fósforo (P),Dificuldade na floração e frutificação,Toda planta,Macro,Crescimento radicular Transferência de energia (ATP) Síntese de ácidos nucleicos Desenvolvimento de flores e frutos,Baixa mobilidade,O fósforo reage com cálcio ferro ou alumínio formando compostos insolúveis em solos de pH extremo (ácidos ou alcalinos),Moderada mobilidade,É transportado em menor proporção que o nitrogênio e o potássio mas pode ser redistribuído internamente especialmente para áreas em crescimento ativo.,Aplicar superfosfato ou MAP,Rocha fosfática,Pode competir com zinco e ferro,2-5,1 - 3,Análise do solo,6.0 - 7.0,Solos ligeiramente ácidos a neutros (solo argiloso solo com boa capacidade de retenção de água).,Sim,Não,Não
fosforo,Fósforo (P),Folhas roxas ou verde-escuro,Toda planta,Macro,Crescimento radicular Transferência de energia (ATP) Síntese de ácidos nucleicos Desenvolvimento de flores e frutos,Baixa mobilidade,O fósforo reage com cálcio ferro ou alumínio formando compostos insolúveis em solos de pH extremo (ácidos ou alcalinos),Moderada mobilidade,É transportado em menor proporção que o nitrogênio e o potássio mas pode ser redistribuído internamente especialmente para áreas em crescimento ativo.,Aplicar superfosfato ou MAP,Rocha fosfática,Pode competir com zinco e ferro,2-5,1 - 3,Análise do solo,6.0 - 7.0,Solos ligeiramente ácidos a neutros (solo argiloso solo com boa capacidade de retenção de água).,Sim,Não,Não
magnesio,Magnésio (Mg),Clorose entre nervuras,Folhas Velhas,Macro,Formação de clorofil Ativação de enzimas Transporte de fosfato Síntese de proteínas,Moderada mobilidade,Catião solúvel mas compete com outros nutrientes como o potássio e o cálcio pela absorção.,Alta mobilidade,Redistribuído para tecidos jovens e usado na síntese de clorofila e outras funções metabólicas,Aplicar calcário dolomítico,Solos ricos em rochas de dolomita,Relação direta com cálcio e potássio,3-6,2 - 6,Análise foliar,6.0 - 7.0,Solos de pH neutro a ligeiramente ácido bem drenados (solo argiloso e solo de cultivo com boa matéria orgânica).,Sim,Não,Sim
magnesio,Magnésio (Mg),Crescimento lento e reduzido,Raízes,Macro,Formação de clorofil Ativação de enzimas Transporte de fosfato Síntese de proteínas,Moderada mobilidade,Catião solúvel mas compete com outros nutrientes como o potássio e o cálcio pela absorção.,Alta mobilidade,Redistribuído para tecidos jovens e usado na síntese de clorofila e outras funções metabólicas,Aplicar calcário dolomítico,Solos ricos em rochas de dolomita,Relação direta com cálcio e potássio,3-6,2 - 6,Análise foliar,6.0 - 7.0,Solos de pH neutro a ligeiramente ácido bem drenados (solo argiloso e solo de cultivo com boa matéria orgânica).,Sim,Não,Sim
magnesio,Magnésio (Mg),Manchas amareladas ou vermelhas nas folhas,Toda planta,Macro,Formação de clorofil Ativação de enzimas Transporte de fosfato Síntese de proteínas,Moderada mobilidade,Catião solúvel mas compete com outros nutrientes como o potássio e o cálcio pela absorção.,Alta mobilidade,Redistribuído para tecidos jovens e usado na síntese de clorofila e outras funções metabólicas,Aplicar calcário dolomítico,Solos ricos em rochas de dolomita,Relação direta com cálcio e potássio,3-6,2 - 6,Análise foliar,6.0 - 7.0,Solos de pH neutro a ligeiramente ácido bem drenados (solo argiloso e solo de cultivo com boa matéria orgânica).,Sim,Não,Sim
magnesio,Magnésio (Mg),Queda prematura de folhas,Toda planta,Macro,Formação de clorofil Ativação de enzimas Transporte de fosfato Síntese de proteínas,Moderada mobilidade,Catião solúvel mas compete com outros nutrientes como o potássio e o cálcio pela absorção.,Alta mobilidade,Redistribuído para tecidos jovens e usado na síntese de clorofila e outras funções metabólicas,Aplicar calcário dolomítico,Solos ricos em rochas de dolomita,Relação direta com cálcio e potássio,3-6,2 - 6,Análise foliar,6.0 - 7.0,Solos de pH neutro a ligeiramente ácido bem drenados (solo argiloso e solo de cultivo com boa matéria orgânica).,Sim,Não,Sim
manganes,Manganês (Mn),Clorose entre nervuras,Folhas Jovens,Micro,Fotossíntese Ativação de enzimas Formação de clorofila Metabolismo de carboidratos,Moderada mobilidade,Disponível em solos ácidos; precipita em solos com pH alto.,Baixa mobilidade,Não é redistribuído; deficiência aparece nas folhas jovens,Aplicar sulfato de manganês,Solos tropicais,Compete diretamente com ferro,20-50,30 - 200,Análise foliar e do solo,5.5 - 6.5,Solos ácidos a ligeiramente ácidos (solos argilosos e solos ricos em matéria orgânica).,Sim,Não,Sim
manganes,Manganês (Mn),Crescimento atrofiado e amarelamento das folhas,Toda planta,Micro,Fotossíntese Ativação de enzimas Formação de clorofila Metabolismo de carboidratos,Moderada mobilidade,Disponível em solos ácidos; precipita em solos com pH alto.,Baixa mobilidade,Não é redistribuído; deficiência aparece nas folhas jovens,Aplicar sulfato de manganês,Solos tropicais,Compete diretamente com ferro,20-50,30 - 200,Análise foliar e do solo,5.5 - 6.5,Solos ácidos a ligeiramente ácidos (solos argilosos e solos ricos em matéria orgânica).,Sim,Não,Sim
manganes,Manganês (Mn),Manchas necróticas nas folhas,Toda planta,Micro,Fotossíntese Ativação de enzimas Formação de clorofila Metabolismo de carboidratos,Moderada mobilidade,Disponível em solos ácidos; precipita em solos com pH alto.,Baixa mobilidade,Não é redistribuído; deficiência aparece nas folhas jovens,Aplicar sulfato de manganês,Solos tropicais,Compete diretamente com ferro,20-50,30 - 200,Análise foliar e do solo,5.5 - 6.5,Solos ácidos a ligeiramente ácidos (solos argilosos e solos ricos em matéria orgânica).,Sim,Não,Sim
manganes,Manganês (Mn),Redução da produção de frutos e flores,Toda planta,Micro,Fotossíntese Ativação de enzimas Formação de clorofila Metabolismo de carboidratos,Moderada mobilidade,Disponível em solos ácidos; precipita em solos com pH alto.,Baixa mobilidade,Não é redistribuído; deficiência aparece nas folhas jovens,Aplicar sulfato de manganês,Solos tropicais,Compete diretamente com ferro,20-50,30 - 200,Análise foliar e do solo,5.5 - 6.5,Solos ácidos a ligeiramente ácidos (solos argilosos e solos ricos em matéria orgânica).,Sim,Não,Sim
molibdenio,Molibdênio (Mo),Clorose,Folhas Jovens,Micro,Redução de nitrato em nitrito Fixação de nitrogênio Metabolismo de enxofre Formação de proteínas,Moderada mobilidade,Solúvel em pH alcalino; menos disponível em solos ácidos,Moderada mobilidade,Redistribuído em menor grau mas necessário para enzimas específicas.,Usar molibdato de sódio ou molibdato de amônio,Matéria orgânica e Minerais molibdenita,Alta interação com nitrogênio,0.1 - 1.0,0.1 - 1.0,Análise do solo,6.0 - 7.5,Solos neutros a ligeiramente alcalinos (solos argilosos e calcários).,Sim,Não,Sim
molibdenio,Molibdênio (Mo),Crescimento lento e reduzido,Raízes,Micro,Redução de nitrato em nitrito Fixação de nitrogênio Metabolismo de enxofre Formação de proteínas,Moderada mobilidade,Solúvel em pH alcalino; menos disponível em solos ácidos,Moderada mobilidade,Redistribuído em menor grau mas necessário para enzimas específicas.,Usar molibdato de sódio ou molibdato de amônio,Matéria orgânica e Minerais molibdenita,Alta interação com nitrogênio,0.1 - 1.0,0.1 - 1.0,Análise do solo,6.0 - 7.5,Solos neutros a ligeiramente alcalinos (solos argilosos e calcários).,Sim,Não,Sim
molibdenio,Molibdênio (Mo),Dificuldade na floração e frutificação,Toda planta,Micro,Redução de nitrato em nitrito Fixação de nitrogênio Metabolismo de enxofre Formação de proteínas,Moderada mobilidade,Solúvel em pH alcalino; menos disponível em solos ácidos,Moderada mobilidade,Redistribuído em menor grau mas necessário para enzimas específicas.,Usar molibdato de sódio ou molibdato de amônio,Matéria orgânica e Minerais molibdenita,Alta interação com nitrogênio,0.1 - 1.0,0.1 - 1.0,Análise do solo,6.0 - 7.5,Solos neutros a ligeiramente alcalinos (solos argilosos e calcários).,Sim,Não,Sim
molibdenio,Molibdênio (Mo),Enfraquecimento da planta,Toda planta,Micro,Redução de nitrato em nitrito Fixação de nitrogênio Metabolismo de enxofre Formação de proteínas,Moderada mobilidade,Solúvel em pH alcalino; menos disponível em solos ácidos,Moderada mobilidade,Redistribuído em menor grau mas necessário para enzimas específicas.,Usar molibdato de sódio ou molibdato de amônio,Matéria orgânica e Minerais molibdenita,Alta interação com nitrogênio,0.1 - 1.0,0.1 - 1.0,Análise do solo,6.0 - 7.5,Solos neutros a ligeiramente alcalinos (solos argilosos e calcários).,Sim,Não,Sim
niquel,Níquel (Ni),Acúmulo de toxinas nas folhas e caules,Toda planta,Micro,Ativação da enzima urease Metabolismo de nitrogênio Formação de sementes Crescimento das raízes,Baixa mobilidade,Adsorvido em argila e matéria orgânica especialmente em solos ácidos.,Baixa mobilidade,Pouco redistribuído mas importante para a atividade enzimática em tecidos jovens.,Aplicar fertilizantes com níquel como sulfato de níquel,Matéria orgânica e Minerais garnierita,Compete com ferro e zinco,0.05 - 0.2,50 - 500,Análise foliar e do solo,5.5 - 6.5,Solos ligeiramente ácidos a neutros (solos ácidos com alta capacidade de troca catiônica).,Sim,Não,Sim
niquel,Níquel (Ni),"Deformações Folhas, flores ou frutos",Toda planta,Micro,Ativação da enzima urease  Metabolismo de nitrogênio Formação de sementes  Crescimento das raízes,Baixa mobilidade,Adsorvido em argila e matéria orgânica especialmente em solos ácidos.,Baixa mobilidade,Pouco redistribuído mas importante para a atividade enzimática em tecidos jovens.,Aplicar fertilizantes com níquel como sulfato de níquel,Matéria orgânica e Minerais garnierita,Compete com ferro e zinco,0.05 - 0.2,50 - 500,Análise foliar e do solo,5.5 - 6.5,Solos ligeiramente ácidos a neutros (solos ácidos com alta capacidade de troca catiônica).,Sim,Não,Sim
niquel,Níquel (Ni),Enfraquecimento das raízes,Raízes,Micro,Ativação da enzima urease Metabolismo de nitrogênio Formação de sementes Crescimento das raízes,Baixa mobilidade,Adsorvido em argila e matéria orgânica especialmente em solos ácidos.,Baixa mobilidade,Pouco redistribuído mas importante para a atividade enzimática em tecidos jovens.,Aplicar fertilizantes com níquel como sulfato de níquel,Matéria orgânica e Minerais garnierita,Compete com ferro e zinco,0.05 - 0.2,50 - 500,Análise foliar e do solo,5.5 - 6.5,Solos ligeiramente ácidos a neutros (solos ácidos com alta capacidade de troca catiônica).,Sim,Não,Sim
niquel,Níquel (Ni),Necrose nas extremidades das folhas,Toda planta,Micro,Ativação da enzima urease Metabolismo de nitrogênio Formação de sementes Crescimento das raízes,Baixa mobilidade,Adsorvido em argila e matéria orgânica especialmente em solos ácidos.,Baixa mobilidade,Pouco redistribuído mas importante para a atividade enzimática em tecidos jovens.,Aplicar fertilizantes com níquel como sulfato de níquel,Matéria orgânica e Minerais garnierita,Compete com ferro e zinco,0.05 - 0.2,50 - 500,Análise foliar e do solo,5.5 - 6.5,Solos ligeiramente ácidos a neutros (solos ácidos com alta capacidade de troca catiônica).,Sim,Não,Sim
nitrogenio,Nitrogênio (N),Clorose,Folhas Velhas,Macro,Formação de clorofila Crescimento vegetativo Produção de proteínas Desenvolvimento de flores e frutos,Nitrato - Alta mobilidade / Amônio - Baixa mobilidade,Nitrato (NO₃⁻): Muito solúvel e facilmente lixiviado / Amônio (NH₄⁺): Baixa mobilidade – Retido pelas cargas negativas do solo mas pode ser nitrificado,Alta mobilidade,Redistribuído para tecidos jovens; deficiências aparecem primeiro nas folhas mais velhas.,Aplicar ureia ou sulfato de amônia,Matéria orgânica decomposta,Alta interação com enxofre e potássio,25 - 35,25 - 40,Análise foliar e do solo,6.0 - 7.5,Solos bem drenados e ricos em matéria orgânica (como solos argilosos e solo de cultura).,Sim,Sim,Sim
